country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bhutan,,,,,,,,,,,,,,,,,,,,,1781.5028,1770.9418,1735.5033,1707.0499,1734.9807,1626.5494,1721.9677,1781.4071,1864.6022,1917.5354,1861.2372,2146.4646,2190.0469,2415.5686,2393.804,2421.3494,2502.6501,2505.8479,2564.375,2562.938,2632.708,2707.5679,3041.3708,2906.6406,2976.72,3047.2241,3265.0364,3630.0002,3677.4846,4114.0723,4127.978,4246.5669,4744.98,5059.0674,5754.0361,5596.4165,5366.5479,5540.6392,5975.6479,6473.8599,7235.1895,7485.2427,7096.2998,7541.1753,7213.751,7720.0625,8239.8018,8397.0967
Bolivia,2201.563,2336.6833,2276.1094,1841.4871,1878.9253,2008.0735,1857.4048,1791.9556,1688.3788,1760.4386,1771.0376,1785.9019,1816.3291,1889.8828,1961.6992,2035.9391,2148.8835,2269.1008,1961.4752,1983.1693,1892.3293,1969.0874,1966.0112,2080.5408,2177.865,2257.9165,2299.0569,2365.0542,2305.521,2298.3054,2233.4282,2251.9434,2159.9998,2099.0024,2145.0068,2217.4741,2184.8535,2230.9536,1962.2404,2017.6039,2107.0764,2206.9673,2270.8662,2379.2104,2530.5063,2772.4607,3040.0198,3023.3433,3030.5867,2978.8181,2970.2183,3042.5376,3135.7532,3233.8621,3377.7795,3556.02,3692.7053,3859.0896,4289.9028,4396.043,4806.6094,5326.5303,5611.9556,5910.2285,5836.4604,5533.6431,5653.1333,5838.0708
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.30182,757.00842,747.17859,984.75281,1387.2185,2153.5862,4237.585,5291.9507,5442.5327,5971.5444,5794.3423,5937.854,6024.2847,5913.7959,6078.2998,7012.6724,7539.6655,8103.6157,8751.3291,8754.1182,9049.3643,9482.499,9727.917,10033.4,10198.682,10683.865,11081.304,11572.854
Botswana,,,,,,,,,,,404.67816,429.66925,455.41388,469.08011,492.21054,461.95169,497.0675,569.98846,622.7644,580.99445,657.95746,815.01654,990.18732,1178.0854,1269.8831,1357.9001,1472.9626,1607.0632,1737.0582,1892.17,2043.6766,2255.0811,2324.5027,2634.095,3202.8174,3599.7449,3881.6716,4163.3481,4472.1714,5566.7979,5885.355,6157.8081,6226.3599,6251.9697,6337.7656,6777.7056,7583.3511,7942.6655,8060.0288,8716.5039,9219.7441,9044.1777,10497.417,10227.64,10565.8,11886.021,12129.414,12376.489,12277.092,11143.592,12256.142,13325.452,13343.103,14049.551,14768.774,14579.869,14951.116,14997.142
Brazil,1509.8824,1511.3116,1624.7908,1625.7939,1715.1316,1791.8883,1802.1897,1906.559,1956.1989,1988.6837,2114.1973,2338.2324,2442.8806,2533.6816,2572.0742,2657.8242,2708.3569,2855.3679,3068.2261,3043.8882,3374.5247,3695.4724,4044.0803,4485.5283,4764.1333,4852.1182,5147.1968,5143.2651,5226.9468,5453.4531,5331.9683,5396.7891,5393.2739,5201.334,5231.7432,5391.1934,6041.0913,6121.5737,6051.6343,6070.8423,5809.9702,6236.5073,6302.7295,6686.8335,7406.4434,8467.9131,10003.463,9547.0693,9008.5811,8573.4609,8570.5137,8414.4658,8360.5596,8224.0762,8553.793,8765.5166,9457.0322,10414.912,11473.532,11794.125,13541.462,14968.018,14998.416,15179.207,15032.196,14272.854,13787.687,13812.992
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,5372.998,4644.1245,4540.8267,4707.9829,5075.7222,5308.3823,5232.959,5479.9043,5895.3926,6563.6567,7470.2183,7206.5894,7042.4653,7155.646,7185.9712,6265.793,5898.1265,6776.8218,5400.6426,7464.1968,8451.041,12461.132,12811.117,15678.022,22670.207,26676.141,28347.334,35509.012,27406.879,26516.949,33013.645,39767.539,40619.441,33776.254,25794.186,31209.871,35527.762,29392.564,26914.955,25368.975,21183.281,27332.693,19051.656,23936.945,25030.389,21990.357,20565.969,20312.861
Brunei,,,,,,,,,,,,,,,,,,,,,58323.629,61065.859,65211.43,67079.172,71227.023,72251.398,76425.492,78398.492,78332.109,92612.227,87102.797,81306.141,76270.492,72756.078,69888.688,63226.977,45021.684,47305.578,41698.652,45760.66,51393.523,48052.422,54379.434,51801.023,46599.008,43313.793,55146.746,46792.813,39733.516,44657.777,51826.215,49339.543,48710.43,54378.074,59308.051,71074.586,81101.453,79052.273,83941.43,62395.457,67320.898,82929.227,84735.195,79188.719,71171.883,55360.652,51455.105,51703.047
Bulgaria,,,,,,,,,,,,,,,,,,,,,3663.9617,3891.3264,4170.019,4495.522,4843.6069,5301.1152,5610.875,5880.0381,6198.2217,6714.731,6755.147,7195.9292,7533.1816,8030.6875,8168.5469,8632.1865,8659.0645,9511.3057,9722.2559,9476.8613,10006.039,10456.852,10749.749,8192.9355,8207.6543,7903.5283,7160.5239,6235.6309,6673.7578,8004.2007,8808.9531,9085.1172,9486.7275,9838.874,10358.287,11583.309,12361.933,13527.925,14590.608,14163.865,14906.785,15201.735,15705.853,15412.572,16085.071,16726.297,17693.746,18639.945
Burkina Faso,,,,,,,,,,737.81073,724.34338,681.06201,724.85577,698.73785,718.57928,712.56854,710.61255,767.87103,787.11304,799.60675,770.95728,754.00146,876.10883,823.18622,888.08868,860.87366,845.02515,906.74738,976.13141,1010.2781,981.43622,1016.1007,998.90839,908.04175,859.26624,930.44995,974.06195,931.27649,961.8714,948.23987,918.2832,959.32874,932.51123,937.5683,870.87823,928.72443,1005.3777,1072.7485,1119.646,1156.0022,1172.5059,1176.5754,1194.3818,1215.4131,1242.9742,1314.668,1335.8718,1298.3921,1298.9156,1263.7395,1327.2166,1345.7402,1456.0338,1480.2285,1487.028,1520.5468,1559.5422,1628.4565
Burundi,,,,,,,,,,,676.56696,570.27051,607.51764,623.15161,611.82202,622.57056,626.90863,688.72821,681.39606,644.52295,764.83228,788.32245,709.43109,761.07886,755.31384,748.80127,802.14648,888.84167,896.9425,902.11163,878.71539,934.29846,906.70697,904.77374,889.73877,931.61285,951.66785,926.71063,971.92548,914.07739,926.38672,945.0603,909.3653,836.96539,832.66644,744.94366,680.88562,660.2016,721.61688,716.98206,677.66077,671.76428,685.46637,699.05853,712.60522,680.47083,695.82208,692.87085,716.68018,704.23547,731.42328,777.36084,789.88416,851.16168,852.28558,794.48755,803.34576,799.61115
